Rnk,GC,Timelag,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,,Time
1,4,+1:00,91,,GC,RODRÍGUEZ Carlos INEOS Grenadiers,23,INEOS Grenadiers,60,50,,4:18:02
2,2,+0:08,4,,GC,JORGENSON Matteo Team Visma | Lease a Bike,24,Team Visma | Lease a Bike,40,30,,",,0:00"
3,3,+0:36,203,,Climber,GEE Derek Israel - Premier Tech,26,Israel - Premier Tech,30,18,,0:150:15
4,5,+2:04,93,,GC,DE PLUS Laurens INEOS Grenadiers,28,INEOS Grenadiers,25,13,,0:350:35
5,11,+4:28,71,,Climber,BUITRAGO Santiago Bahrain - Victorious,24,Bahrain - Victorious,20,10,,",,0:35"
6,1,+0:00,31,,GC,ROGLIČ Primož BORA - hansgrohe,34,BORA - hansgrohe,15,7,,0:480:48
7,8,+2:54,51,,Climber,CICCONE Giulio Lidl - Trek,29,Lidl - Trek,10,4,,",,0:48"
8,7,+2:25,41,,GC,EVENEPOEL Remco Soudal Quick-Step,24,Soudal Quick-Step,8,3,,0:580:58
9,6,+2:06,37,,Climber,VLASOV Aleksandr BORA - hansgrohe,28,BORA - hansgrohe,5,2,,",,0:58"
10,10,+4:13,44,,Climber,LANDA Mikel Soudal Quick-Step,34,Soudal Quick-Step,2,1,,1:101:10
